,word,count
30,michael,206
20,jim,99
11,dwight,86
34,office,49
35,pam,41
10,desk,41
0,andy,40
1,angela,35
36,paper,34
42,schrute,30
6,car,30
48,woman,26
28,manager,26
25,life,26
40,ryan,24
37,phyllis,24
12,face,23
18,idea,23
31,minute,23
16,hay,22
17,head,22
5,business,22
41,sale,21
33,number,20
27,lot,20
8,company,18
22,kevin,18
26,line,18
21,job,17
45,temp,17
32,mose,16
39,question,15
43,stanley,14
13,family,14
7,client,14
47,toby,14
46,throat,13
14,fire,13
4,branch,13
15,friend,13
29,meredith,13
9,computer,13
23,kid,13
19,jan,13
38,point,12
3,blood,12
44,store,12
24,king,12
2,animal,12
49,world,12
