,episode_no,ep_name,pam,dwight_hijinks,career,michael,pranks,character
0,"(2, 1)",The Dundies,0.999999,0.999999,1e-06,0.999999,0.00639939913282156,jim
1,"(2, 2)",Sexual Harassment,2.119246848597723e-05,1e-06,1e-06,0.999999,0.0009111940068679234,jim
2,"(2, 4)",The Fire,2.6485022012737663e-05,0.999999,1e-06,1e-06,0.999999,jim
3,"(2, 5)",Halloween,0.9999971130996543,0.999999,0.999999,0.999999,1e-06,jim
4,"(2, 6)",The Fight,0.999999,0.999999,1e-06,0.999999,1e-06,jim
5,"(2, 9)",E-Mail Surveillance,0.999999,0.999999,1e-06,0.999999,0.999999,jim
6,"(2, 12)",The Injury,0.01670369619571024,0.999999,1e-06,0.999999,1e-06,jim
7,"(2, 14)",The Carpet,0.999999,1e-06,1e-06,0.04805784477130538,0.0037019805741460737,jim
8,"(2, 16)",Valentine's Day,1e-06,1e-06,1e-06,1e-06,0.999999,jim
9,"(2, 18)",Take Your Daughter to Work Day,1e-06,0.999999,0.999999,1e-06,0.999999,jim
10,"(2, 21)",Conflict Resolution,0.999999,0.999999,1e-06,1e-06,1e-06,jim
11,"(3, 2)",The Convention,0.999999,0.999999,1e-06,0.999999,1e-06,jim
12,"(3, 3)",The Coup,0.999999,0.999999,1e-06,1e-06,1e-06,jim
13,"(3, 4)",Grief Counseling,1e-06,1e-06,1e-06,1e-06,1.610729666796026e-06,jim
14,"(3, 5)",Initiation,0.999999,1e-06,1e-06,1e-06,1e-06,jim
15,"(3, 6)",Diwali,1e-06,1e-06,0.999999,1e-06,1e-06,jim
16,"(3, 7)",Branch Closing,1e-06,0.999999,0.999999,1e-06,0.000547953336981055,jim
17,"(3, 8)",The Merger,0.012029042138492957,0.999999,1e-06,0.999999,0.02210980717517925,jim
18,"(3, 15)",Ben Franklin,1e-06,0.999999,1e-06,1e-06,4.204239022686474e-06,jim
19,"(3, 16)",Phyllis' Wedding,0.999999,0.999999,1e-06,1e-06,0.999999,jim
20,"(3, 21)",Product Recall,1e-06,0.999999,1e-06,1e-06,0.999999,jim
21,"(3, 23)",Beach Games,1e-06,1e-06,0.999999,1e-06,1e-06,jim
22,"(4, 1)",Fun Run (Parts 1&2),0.999999,1e-06,0.999999,1e-06,0.999999,jim
23,"(4, 5)",Launch Party (Parts 1&2),1e-06,0.999999,0.999999,1e-06,0.999999,jim
24,"(4, 9)",Local Ad,0.999999,0.999999,0.999999,0.0015142919264455425,1e-06,jim
25,"(4, 11)",Survivor Man,1e-06,1e-06,1e-06,0.999999,0.999999,jim
26,"(4, 14)",Chair Model,0.999999,1e-06,1e-06,0.999999,0.0010425665781165119,jim
27,"(4, 16)",Did I Stutter?,1e-06,1e-06,1e-06,1e-06,6.0012381811466525e-06,jim
28,"(4, 18)","Goodbye, Toby (Parts 1&2)",1e-06,0.999999,0.999999,1e-06,0.999999,jim
29,"(5, 1)",Weight Loss (Parts 1&2),0.999999,0.999999,1e-06,1e-06,3.66017332445451e-05,jim
30,"(5, 5)",Crime Aid,0.999999,1e-06,1e-06,1e-06,0.003293500068655678,jim
31,"(5, 6)",Employee Transfer,0.999999,1e-06,1e-06,1e-06,0.999999,jim
32,"(5, 9)",Frame Toby,0.999999,1e-06,1e-06,1e-06,0.999999,jim
33,"(5, 10)",The Surplus,0.999999,1e-06,1e-06,0.999999,1e-06,jim
34,"(5, 11)",Moroccan Christmas,0.021023664774310617,0.9999970837111003,1e-06,0.999999,0.999999,jim
35,"(5, 13)",Prince Family Paper,1e-06,1e-06,1e-06,1e-06,1e-06,jim
36,"(5, 18)",Blood Drive,0.999999,1e-06,1e-06,7.283514226263265e-05,1.9478930483753667e-06,jim
37,"(5, 22)",Dream Team,1e-06,1e-06,1e-06,1e-06,1e-06,jim
38,"(5, 24)",Heavy Competition,1e-06,0.999999,0.001903738786161848,1e-06,0.999999,jim
39,"(5, 25)",Broke,0.0063223612971408,0.999999,0.999999,1e-06,0.999999,jim
40,"(5, 27)",Cafe Disco,0.999999,0.999999,1e-06,1e-06,0.0008250552426648362,jim
41,"(5, 28)",Company Picnic,0.999999,0.999999,0.999999,0.999999,1e-06,jim
42,"(6, 1)",Gossip,1e-06,1e-06,1e-06,1e-06,1e-06,jim
43,"(6, 4)",Niagara (Parts 1&2),0.999999,0.999999,0.999999,0.999999,0.999999,jim
44,"(6, 6)",Mafia,1e-06,1e-06,1e-06,0.04531837969036077,0.0008298723113522812,jim
45,"(6, 7)",The Lover,1e-06,0.999999,0.999999,0.999999,0.999999,jim
46,"(6, 9)",Double Date,4.531601000213872e-05,1e-06,0.999999,0.999999,0.003197867412360482,jim
47,"(6, 10)",m*rder,0.999999,0.999999,0.999999,1e-06,0.999999,jim
48,"(6, 11)",Shareholder Meeting,0.014397069643679006,0.999999,0.999999,0.999999,0.0006728387896487199,jim
49,"(6, 12)",Scott's Tots,1e-06,0.999999,1e-06,1e-06,0.0018834963004911013,jim
50,"(6, 19)",St. Patrick's Day,1e-06,0.999999,1e-06,3.4787367364298676e-06,0.999999,jim
51,"(6, 21)",Happy Hour,0.999999,1e-06,4.6053571061068134e-06,0.999999,0.999999,jim
52,"(6, 23)",Body Language,0.0210439617873031,1e-06,0.0021641109588898906,0.999999,0.999999,jim
53,"(6, 26)",Whistleblower,1e-06,1e-06,1e-06,1e-06,0.005474273116987995,jim
54,"(7, 2)",Counseling,4.1711784937769806e-06,0.999999,0.999999,1e-06,0.0005849446692820241,jim
55,"(7, 4)",Sex Ed,1e-06,1e-06,1e-06,1e-06,0.0008424627158277767,jim
56,"(7, 9)",WUPHF.com,1e-06,1e-06,0.999999,1e-06,0.999999,jim
57,"(7, 13)",Ultimatum,1e-06,1e-06,1e-06,1e-06,0.0009629450857577943,jim
58,"(7, 14)",The Seminar,1e-06,1e-06,0.999999,1e-06,0.999999,jim
59,"(7, 15)",The Search,0.999999,1e-06,1.767923011767744e-05,0.999999,0.999999,jim
60,"(7, 16)",PDA,1e-06,0.999999,1e-06,1e-06,0.999999,jim
61,"(7, 18)",Todd Packer,7.19441414706926e-05,0.999999,1e-06,0.999999,6.926759157853042e-06,jim
62,"(7, 20)",Training Day,1e-06,1e-06,1e-06,0.0003485073491950314,0.999999,jim
63,"(7, 22)","Goodbye, Michael",0.21609995933545467,1e-06,1e-06,0.999999,0.0008356154547444237,jim
64,"(7, 24)","Dwight K. Schrute, (Acting) Manager",1e-06,0.999999,0.999999,0.999999,0.999999,jim
65,"(7, 25)",Search Committee (Parts 1&2),1e-06,0.999999,0.999999,0.999999,0.999999,jim
